;fechamuestreo;patente;latitud;longitud;num_paradero;dist30s;dist_total;grupo
66;2018-08-01 16:29:05;BJFF-15;-33.4321976;-70.6531219;29;0.0012807492006231;9.052162385460289;1
67;2018-08-01 16:29:35;BJFF-15;-33.4324417;-70.6531982;29;0.0280511354358558;9.080213520896145;1
68;2018-08-01 16:30:05;BJFF-15;-33.4325523;-70.6544571;30;0.1174667632241337;9.197680284120276;1
69;2018-08-01 16:30:35;BJFF-15;-33.4322014;-70.6563263;30;0.1777894315979954;9.375469715718271;1
70;2018-08-01 16:31:05;BJFF-15;-33.4325485;-70.658905;31;0.2423866503237041;9.617856366041975;1
71;2018-08-01 16:31:35;BJFF-15;-33.43326185;-70.65880585;31;0.0798528450170132;9.697709211058989;1
72;2018-08-01 16:32:05;BJFF-15;-33.4339752;-70.6587067;31;0.0798528450170132;9.777562056076002;1
73;2018-08-01 16:32:35;BJFF-15;-33.4361038;-70.658493;32;0.2375190970697212;10.015081153145724;1
74;2018-08-01 16:33:05;BJFF-15;-33.437355;-70.6584702;33;0.139143371068681;10.154224524214404;1
75;2018-08-01 16:33:35;BJFF-15;-33.4377174;-70.65840535;33;0.040743789876689;10.194968314091094;1
76;2018-08-01 16:34:05;BJFF-15;-33.4380798;-70.6583405;33;0.040743789876689;10.235712103967783;1
77;2018-08-01 16:34:35;BJFF-15;-33.4385185;-70.6582336;33;0.0497796802182626;10.285491784186044;1
78;2018-08-01 16:35:05;BJFF-15;-33.4394455;-70.6580353;33;0.1047072564768325;10.390199040662878;1
79;2018-08-01 16:35:35;BJFF-15;-33.4398232;-70.6580276;34;0.0420044028141937;10.432203443477071;1
80;2018-08-01 16:36:05;BJFF-15;-33.4401665;-70.6579742;34;0.0384934849461814;10.470696928423251;1
81;2018-08-01 16:36:35;BJFF-15;-33.4402695;-70.6579666;34;0.0114746287699136;10.482171557193167;1
82;2018-08-01 16:37:05;BJFF-15;-33.440361;-70.6579666;34;0.0101744936591644;10.492346050852332;1
83;2018-08-01 16:37:35;BJFF-15;-33.4404716;-70.6579819;34;0.012380252057728;10.50472630291006;1
84;2018-08-01 16:38:05;BJFF-15;-33.4405479;-70.6579514;34;0.0089441082388384;10.513670411148896;1
85;2018-08-01 16:38:35;BJFF-15;-33.4406185;-70.65794375;34;0.0078825010818929;10.52155291223079;1
86;2018-08-01 16:39:05;BJFF-15;-33.4406891;-70.6579361;34;0.0078825010818929;10.529435413312685;1
87;2018-08-01 16:39:35;BJFF-15;-33.44098855;-70.6579132;34;0.0333651840587146;10.562800597371398;1
88;2018-08-01 16:40:05;BJFF-15;-33.441288;-70.6578903;34;0.0333651840587146;10.596165781430113;1
89;2018-08-01 16:40:35;BJFF-15;-33.4415245;-70.6578827;34;0.0263068847259375;10.62247266615605;1
90;2018-08-01 16:41:05;BJFF-15;-33.4420395;-70.6577911;34;0.0578927222237591;10.68036538837981;1
91;2018-08-01 16:41:35;BJFF-15;-33.444088;-70.6575394;35;0.2289772526387319;10.909342641018542;1
92;2018-08-01 16:42:05;BJFF-15;-33.4442062;-70.6575165;35;0.0133139983655562;10.922656639384098;1
93;2018-08-01 16:42:35;BJFF-15;-33.4460373;-70.6572723;36;0.2048661633264754;11.127522802710573;1
94;2018-08-01 16:43:05;BJFF-15;-33.4477501;-70.6569366;36;0.1929849671667805;11.320507769877354;1
95;2018-08-01 16:43:35;BJFF-15;-33.4477615;-70.6569366;36;0.001266596841353;11.321774366718708;1
96;2018-08-01 16:44:05;BJFF-15;-33.4485321;-70.6568375;36;0.0861787991344974;11.407953165853204;1
97;2018-08-01 16:44:35;BJFF-15;-33.4498863;-70.6565628;37;0.1527220135509022;11.560675179404106;1
98;2018-08-01 16:45:05;BJFF-15;-33.452446;-70.6559753;38;0.2897980676529381;11.850473247057044;1
99;2018-08-01 16:45:35;BJFF-15;-33.4524765;-70.6559677;38;0.0034635178262237;11.853936764883269;1
100;2018-08-01 16:46:05;BJFF-15;-33.4525223;-70.6559601;38;0.005140559407322;11.85907732429059;1
101;2018-08-01 16:46:35;BJFF-15;-33.4528275;-70.6547318;38;0.1189011045736308;11.97797842886422;1
102;2018-08-01 16:47:05;BJFF-15;-33.4525833;-70.653511;39;0.1164688090504052;12.094447237914626;1
103;2018-08-01 16:47:35;BJFF-15;-33.453125;-70.6527405;39;0.0934770490737372;12.187924286988364;1
104;2018-08-01 16:48:05;BJFF-15;-33.4537926;-70.6526642;39;0.0745705698848721;12.262494856873236;1
105;2018-08-01 16:48:35;BJFF-15;-33.4549751;-70.6524506;40;0.1329730478610242;12.39546790473426;1
106;2018-08-01 16:49:05;BJFF-15;-33.4575882;-70.6520386;41;0.2930670318582089;12.688534936592468;1
107;2018-08-01 16:49:35;BJFF-15;-33.4584351;-70.6519165;42;0.0948498715716605;12.78338480816413;1
108;2018-08-01 16:50:05;BJFF-15;-33.4587975;-70.6518631;42;0.0406004178442731;12.823985226008402;1
109;2018-08-01 16:50:35;BJFF-15;-33.4591141;-70.6518097;42;0.0355510116377911;12.859536237646193;1
110;2018-08-01 16:51:05;BJFF-15;-33.4596119;-70.6517334;43;0.0558036339356271;12.91533987158182;1
